symboling,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,CarBrand,Actual,Linear_Regression_Predicted,Ridge_Regression_Predicted,Lasso_Regression_Predicted,Random_Forest_Predicted,SVR_Predicted,XGBoost_Predicted
0.0,1.0,0.0,4.0,3.0,1.0,0.0,100.4,180.2,66.9,55.1,2661.0,3.0,5.0,136.0,5.0,3.19,3.4,8.5,110.0,5500.0,19.0,24.0,25.0,13295.0,13543.434156537769,14062.798102133973,13549.528768864504,13831.35,13707.347723814448,12146.0771484375
1.0,1.0,0.0,2.0,2.0,2.0,0.0,94.5,168.7,64.0,52.6,2204.0,3.0,4.0,98.0,1.0,3.19,3.03,9.0,70.0,4800.0,29.0,34.0,22.0,8238.0,5638.622897609239,5695.103648031516,5641.776242139138,7903.01,7941.784032902924,8097.09228515625
0.0,1.0,0.0,4.0,3.0,2.0,0.0,104.9,175.0,66.1,54.4,2670.0,3.0,4.0,140.0,5.0,3.76,3.16,8.0,120.0,5000.0,19.0,27.0,11.0,18280.0,16490.471854632735,17205.77806143731,16495.97696027816,14009.1325,15664.487576582662,13376.416015625
-1.0,1.0,0.0,4.0,2.0,1.0,0.0,102.4,175.6,66.5,53.9,2414.0,3.0,4.0,122.0,5.0,3.31,3.54,8.7,92.0,4200.0,27.0,32.0,22.0,9988.0,10668.200777467835,10162.454845912122,10665.394040301588,10901.893333333335,10071.301371924439,11099.3701171875
0.0,1.0,0.0,4.0,3.0,2.0,0.0,120.9,208.1,71.7,56.7,3900.0,5.0,8.0,308.0,5.0,3.8,3.35,8.0,184.0,4500.0,14.0,16.0,4.0,40960.0,40055.58455827889,40751.60597451467,40056.38239373152,40199.825,32982.009233949946,45249.1484375
1.0,1.0,0.0,4.0,2.0,1.0,0.0,95.7,158.7,63.6,54.5,2015.0,3.0,4.0,92.0,1.0,3.05,3.03,9.0,62.0,4800.0,31.0,38.0,22.0,6488.0,6484.337562205474,6663.956307238339,6484.317276965157,6477.43,6178.869213546315,6314.1484375
2.0,1.0,0.0,2.0,2.0,1.0,0.0,88.4,141.1,60.3,53.2,1488.0,2.0,3.0,61.0,1.0,2.91,3.03,9.5,48.0,5100.0,47.0,53.0,5.0,5151.0,638.3201704729145,340.462179684313,632.8214020008163,5659.94,-89.94731077665892,5021.10107421875
3.0,1.0,1.0,2.0,2.0,1.0,0.0,95.9,173.2,66.3,50.2,2833.0,3.0,4.0,156.0,6.0,3.58,3.86,7.0,145.0,5000.0,19.0,24.0,13.0,12629.0,14517.554764255983,14769.815026925331,14520.39161825423,13934.67,13692.537736115202,14359.64453125
1.0,1.0,0.0,4.0,3.0,1.0,0.0,96.3,172.4,65.4,51.6,2405.0,3.0,4.0,122.0,1.0,3.35,3.46,8.5,88.0,5000.0,25.0,32.0,13.0,8189.0,9586.825981960268,9756.488948241582,9590.100038525052,8500.636666666665,9721.225683706194,8581.1416015625
0.0,1.0,0.0,4.0,3.0,1.0,0.0,97.2,172.0,65.4,52.5,2340.0,4.0,4.0,108.0,5.0,3.62,2.64,9.0,94.0,5200.0,26.0,32.0,21.0,9960.0,10353.364202071869,10729.48544960215,10357.402888745593,9244.115,11578.987206702845,8989.6767578125
0.0,1.0,0.0,4.0,3.0,1.0,0.0,98.8,177.8,66.5,55.5,2410.0,3.0,4.0,122.0,1.0,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,11.0,8495.0,11245.338613109096,11219.22755021252,11245.85075814402,10279.515,10907.39674106039,10248.3779296875
0.0,1.0,0.0,4.0,3.0,1.0,0.0,100.4,181.7,66.5,55.1,3095.0,5.0,6.0,181.0,5.0,3.43,3.27,9.0,152.0,5200.0,17.0,22.0,14.0,13499.0,21099.03336311104,21769.7161311874,21100.67493591894,15310.62,19865.147569208213,14195.205078125
2.0,1.0,0.0,2.0,1.0,1.0,0.0,95.1,162.4,63.8,53.3,2008.0,3.0,4.0,97.0,1.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,14.0,8249.0,7567.6972147180495,7736.333564104301,7567.947937177436,6493.48,7074.705405270355,6629.55322265625
2.0,1.0,0.0,2.0,2.0,1.0,0.0,86.6,144.6,63.9,50.8,1713.0,3.0,4.0,92.0,0.0,2.91,3.41,9.6,58.0,4800.0,49.0,54.0,7.0,6479.0,3661.037316470378,2802.2613341094766,3653.8012827027705,5710.51,2377.3408951502297,5411.04248046875
1.0,1.0,0.0,4.0,3.0,1.0,0.0,93.7,157.3,63.8,50.6,1989.0,3.0,4.0,90.0,1.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6.0,6692.0,7516.9742148414225,7170.371850583622,7512.9394461068005,7345.125,6863.7520965443455,7601.2333984375
0.0,1.0,0.0,2.0,3.0,2.0,0.0,103.5,193.8,67.9,53.7,3380.0,3.0,6.0,209.0,5.0,3.62,3.39,8.0,182.0,5400.0,16.0,22.0,3.0,41315.0,24720.255855211886,25783.947064686952,24730.19833229261,35419.965,23320.79764082019,36809.86328125
2.0,1.0,0.0,2.0,1.0,2.0,0.0,98.4,176.2,65.6,52.0,2536.0,3.0,4.0,146.0,5.0,3.62,3.5,9.3,116.0,4800.0,24.0,30.0,22.0,9639.0,13862.379838171473,14045.406233873153,13860.151036054463,9052.3,12877.05747937199,8521.9072265625
-1.0,1.0,0.0,4.0,4.0,2.0,0.0,104.3,188.8,67.2,57.5,3034.0,3.0,4.0,141.0,5.0,3.78,3.15,9.5,114.0,5400.0,23.0,28.0,26.0,13415.0,15831.855899592323,15700.249406725365,15828.033415852711,16667.5,15867.607568003074,16071.3994140625
1.0,1.0,0.0,4.0,4.0,1.0,0.0,94.5,170.2,63.8,53.5,2037.0,3.0,4.0,97.0,1.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,14.0,7999.0,5182.47300283848,5036.106001373635,5181.229889581096,7334.89,6667.055356495322,7349.373046875
-2.0,1.0,0.0,4.0,3.0,2.0,0.0,104.3,188.8,67.2,56.2,2912.0,3.0,4.0,141.0,5.0,3.78,3.15,9.5,114.0,5400.0,23.0,28.0,26.0,12940.0,16273.64279242263,16304.368577401758,16271.110265438692,16480.56,15818.809500289522,15947.8876953125
-1.0,0.0,1.0,4.0,3.0,2.0,0.0,110.0,190.9,70.3,56.5,3515.0,3.0,5.0,183.0,3.0,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,4.0,25552.0,26382.896082910855,26102.828821991767,26378.057028183466,27768.89,22565.682884796246,31894.095703125
1.0,1.0,0.0,4.0,2.0,1.0,0.0,93.7,157.3,63.8,50.6,1967.0,3.0,4.0,90.0,1.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,16.0,6229.0,7101.206030933332,7131.9288225471755,7100.086796638818,6393.43,6341.7996016292545,6215.49853515625
0.0,1.0,0.0,4.0,4.0,0.0,0.0,95.7,169.7,63.6,59.1,2290.0,3.0,4.0,92.0,1.0,3.05,3.03,9.0,62.0,4800.0,27.0,32.0,22.0,7898.0,4688.290766261824,4466.7611276599855,4686.039141287387,7910.23,6039.137206333761,7103.0283203125
-1.0,1.0,0.0,4.0,3.0,2.0,0.0,109.1,188.8,68.9,55.5,3012.0,5.0,6.0,173.0,5.0,3.58,2.87,8.8,134.0,5500.0,18.0,23.0,26.0,21485.0,22117.824514505206,23070.831003441323,22126.15539157446,18703.02,21608.026212271514,18433.146484375
1.0,1.0,1.0,2.0,2.0,1.0,0.0,93.0,157.3,63.8,50.8,2145.0,3.0,4.0,98.0,6.0,3.03,3.39,7.6,102.0,5500.0,24.0,30.0,13.0,7689.0,8079.428632937386,8099.61688649495,8080.014335258835,8019.095,8378.911593713838,8015.974609375
0.0,0.0,1.0,2.0,1.0,2.0,0.0,106.7,187.5,70.3,54.9,3495.0,3.0,5.0,183.0,3.0,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,4.0,28176.0,26507.826203597622,26372.918649904743,26504.968098940488,27618.84,22332.635213677055,32494.517578125
0.0,1.0,1.0,4.0,3.0,0.0,0.0,97.0,172.0,65.4,54.3,2510.0,4.0,4.0,108.0,5.0,3.62,2.64,7.7,111.0,4800.0,24.0,29.0,21.0,11259.0,10306.365371028223,10524.990637660238,10309.175820147851,9980.48,11481.1977680992,9235.70703125
3.0,1.0,0.0,2.0,2.0,2.0,0.0,95.3,169.0,65.7,49.6,2380.0,6.0,2.0,70.0,2.0,3.33,3.255,9.4,101.0,6000.0,17.0,23.0,11.0,10945.0,10164.351326167496,10197.70862458049,10162.214598386694,12556.07,11844.900505983936,11851.2177734375
0.0,1.0,0.0,4.0,3.0,1.0,0.0,94.5,155.9,63.6,52.0,1909.0,3.0,4.0,90.0,1.0,3.03,3.11,9.6,70.0,5400.0,38.0,43.0,8.0,8916.5,7007.209554772111,6657.099583432027,7002.89513583915,7589.74,6162.768128193233,8253.55859375
3.0,1.0,1.0,2.0,2.0,1.0,0.0,95.9,173.2,66.3,50.2,2926.0,3.0,4.0,156.0,6.0,3.59,3.86,7.0,145.0,5000.0,19.0,24.0,13.0,14489.0,14707.448410099023,14900.458385519545,14710.122188312904,14517.29,13905.688633650656,14866.1767578125
0.0,1.0,0.0,4.0,4.0,1.0,0.0,97.0,173.5,65.4,53.0,2290.0,4.0,4.0,108.0,1.0,3.62,2.64,9.0,82.0,4800.0,28.0,32.0,21.0,7463.0,7438.748619266276,7507.0425777892015,7442.286574776939,8438.965,9875.856800463085,7479.5947265625
